id,Name,ID,ALIGN,EYE,HAIR,ALIVE,APPEARANCES,FIRST APPEARANCE,YEAR
700,Demeter (New Earth),Public Identity,Neutral Characters,Brown Eyes,Unknown or None,Living Characters,41,"1985, October",1985
701,Catalina Flores (New Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Deceased Characters,41,"2002, September",2002
702,Sayd (New Earth),Public Identity,Good Characters,Green Eyes,White Hair,Living Characters,41,"2007, August",2007
703,Patrick MacGuire II (New Earth),Secret Identity,Good Characters,Unknown or None,Red Hair,Living Characters,41,"1970, October",1970
704,Iroque (New Earth),Secret Identity,Neutral Characters,Unknown or None,Purple Hair,Living Characters,41,"2008, January",2008
705,Dana Winters (New Earth),Unknown,Unknown or None,Unknown or None,Unknown or None,Deceased Characters,41,"1994, December",1994
706,Manitou Raven (New Earth),Secret Identity,Good Characters,White Eyes,Black Hair,Deceased Characters,41,"2002, July",2002
707,Jessica Midnight (New Earth),Public Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,40,"2002, October",2002
708,Christopher Chance (New Earth),Public Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,40,"1972, December",1972
709,Donna Carol Force (New Earth),Public Identity,Good Characters,Blue Eyes,Brown Hair,Living Characters,40,1993,1993
710,Mariah Romanova (New Earth),Public Identity,Good Characters,Blue Eyes,Red Hair,Living Characters,40,"1977, May",1977
711,Harold Shapiro (New Earth),Public Identity,Good Characters,Blue Eyes,Red Hair,Living Characters,40,"1961, December",1961
712,Jenet Klyburn (New Earth),Public Identity,Unknown or None,Blue Eyes,Red Hair,Living Characters,40,"1976, October",1976
713,Jai West (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,40,"2005, October",2005
714,Brenda Del Vecchio (New Earth),Public Identity,Good Characters,Brown Eyes,Red Hair,Living Characters,40,"2006, February",2006
715,Eve Aries (Pre-Zero Hour),Public Identity,Bad Characters,Green Eyes,Red Hair,Living Characters,40,"1961, August",1961
716,Stacy (New Earth),Public Identity,Neutral Characters,Green Eyes,Red Hair,Living Characters,40,"2000, March",2000
717,Alexander Sartorius (New Earth),Public Identity,Bad Characters,Red Eyes,Unknown or None,Living Characters,40,"1977, May",1977
718,Maurice Douglas (New Earth),Public Identity,Good Characters,Unknown or None,Brown Hair,Deceased Characters,40,"1992, October",1992
719,Eric Strauss (New Earth),Secret Identity,Good Characters,Unknown or None,Brown Hair,Living Characters,40,"1987, July",1987
720,Thomas Thompkins II (New Earth),Secret Identity,Good Characters,Unknown or None,Brown Hair,Living Characters,40,"1970, October",1970
721,Thaddeus Ryerstad (New Earth),Unknown,Bad Characters,Unknown or None,Blond Hair,Living Characters,40,"1997, May",1997
722,Serling Roquette (New Earth),Unknown,Unknown or None,Unknown or None,Blond Hair,Living Characters,40,"1998, October",1998
723,Mongul II (New Earth),Public Identity,Bad Characters,White Eyes,Unknown or None,Living Characters,40,"1995, September",1995
724,Anthony Woodward (New Earth),Secret Identity,Bad Characters,Yellow Eyes,Unknown or None,Living Characters,40,"2001, August",2001
725,Preston Lindsay (New Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,39,"1995, April",1995
726,Artemis Crock (New Earth),Secret Identity,Bad Characters,Blue Eyes,Unknown or None,Living Characters,39,"1987, January",1987
727,Ursa (New Earth),Public Identity,Bad Characters,Brown Eyes,Brown Hair,Living Characters,39,"2007, January",2007
728,Shilo Norman (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,39,"1973, September",1973
729,Amon Tomaz (New Earth),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Living Characters,39,"2006, October",2006
730,John Dee (New Earth),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Living Characters,39,"1961, July",1961
731,William Everett III (New Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Deceased Characters,39,"1994, March",1994
732,Taleb Beni Khalid (New Earth),Secret Identity,Neutral Characters,Brown Eyes,Brown Hair,Living Characters,39,"2006, June",2006
733,Faith (New Earth),Secret Identity,Unknown or None,Brown Eyes,Brown Hair,Living Characters,39,"2002, October",2002
734,Frieda Goren (Dakotaverse),Public Identity,Good Characters,Green Eyes,Red Hair,Living Characters,39,"1993, June",1993
735,Dudley Soames (New Earth),Public Identity,Bad Characters,Hazel Eyes,Brown Hair,Deceased Characters,39,"1996, October",1996
736,Tegra Kalmaku (New Earth),Public Identity,Good Characters,Unknown or None,Black Hair,Living Characters,39,"1961, August",1961
737,Richard Craemer (New Earth),Public Identity,Good Characters,Unknown or None,Brown Hair,Living Characters,39,"1988, February",1988
738,Menalippe (New Earth),Public Identity,Good Characters,Unknown or None,Unknown or None,Deceased Characters,39,"1987, February",1987
739,Sydney Happersen (New Earth),Public Identity,Unknown or None,Unknown or None,Black Hair,Deceased Characters,39,"1987, February",1987
740,Robert Daley (New Earth),Secret Identity,Good Characters,Unknown or None,Unknown or None,Living Characters,39,"1938, July",1938
741,Fang Zhifu (New Earth),Secret Identity,Unknown or None,Unknown or None,Unknown or None,Living Characters,39,"2006, June",2006
742,Skallox (New Earth),Public Identity,Bad Characters,Yellow Eyes,Unknown or None,Living Characters,39,"2008, December",2008
743,Aleea Strange (New Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,38,"1990, May",1990
744,Sigrid Nansen (New Earth),Public Identity,Good Characters,Blue Eyes,White Hair,Living Characters,38,"1986, November",1986
745,Kole Weathers (New Earth),Secret Identity,Good Characters,Blue Eyes,Red Hair,Deceased Characters,38,"1985, June",1985
746,Anatoli Knyazev (New Earth),Public Identity,Bad Characters,Brown Eyes,Blond Hair,Deceased Characters,38,"1988, March",1988
747,Arthur Hall (New Earth),Public Identity,Good Characters,Brown Eyes,White Hair,Living Characters,38,"1982, December",1982
748,Adrianna Tomaz (New Earth),Public Identity,Neutral Characters,Brown Eyes,Brown Hair,Deceased Characters,38,"2006, May",2006
749,Cyril Sheldrake (New Earth),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Deceased Characters,38,"1950, December",1950
750,Mister Mind (New Earth),Secret Identity,Bad Characters,Red Eyes,Unknown or None,Living Characters,38,"1943, March",1943
751,Brainiac 8 (New Earth),Secret Identity,Good Characters,Red Eyes,Pink Hair,Deceased Characters,38,"2003, July",2003
752,Amy Rohrbach (New Earth),Public Identity,Good Characters,Unknown or None,Brown Hair,Living Characters,38,"2000, October",2000
753,Davroth Catto (New Earth),Public Identity,Good Characters,Unknown or None,Brown Hair,Living Characters,38,"1991, August",1991
754,James Cameron (New Earth),Public Identity,Good Characters,Unknown or None,Brown Hair,Living Characters,38,"1987, September",1987
755,Zena Moonstruk (New Earth),Public Identity,Good Characters,Unknown or None,White Hair,Living Characters,38,"1991, August",1991
756,Robert Reed (New Earth),Secret Identity,Good Characters,Unknown or None,Blond Hair,Living Characters,38,"1966, January",1966
757,Keith Everet (New Earth),Secret Identity,Good Characters,Unknown or None,Brown Hair,Living Characters,38,"1942, January",1942
758,Solovar (New Earth),Secret Identity,Unknown or None,Unknown or None,Black Hair,Deceased Characters,38,"1959, May",1959
759,James Jordan (New Earth),Unknown,Good Characters,Unknown or None,Brown Hair,Living Characters,38,"1961, December",1961
760,Predator (New Earth),Unknown,Unknown or None,Unknown or None,Unknown or None,Deceased Characters,38,"1984, July",1984
761,John Jones (New Earth),Public Identity,Good Characters,Black Eyes,Unknown or None,Living Characters,37,"1942, August",1942
762,Bat-Mite (New Earth),Secret Identity,Good Characters,Black Eyes,Unknown or None,Living Characters,37,"1959, May",1959
763,Lawrence Belmont (New Earth),Public Identity,Good Characters,Blue Eyes,Brown Hair,Living Characters,37,"1940, February",1940
764,Elizabeth Tremayne (New Earth),Public Identity,Good Characters,Blue Eyes,Red Hair,Living Characters,37,"1982, July",1982
765,Joan Dale (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,37,"1941, August",1941
766,Lance Gallant (Earth-X),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,37,"1943, January",1943
767,Amy Allen (New Earth),Secret Identity,Neutral Characters,Blue Eyes,Brown Hair,Living Characters,37,"2006, November",2006
768,Lawrence Crock (New Earth),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Living Characters,37,"1947, May",1947
769,Walter Johnson II (New Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,37,"1970, October",1970
770,Thara Ak-Var (New Earth),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Deceased Characters,37,"2008, December",2008
771,Isaiah Crockett (New Earth),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Living Characters,37,"1996, October",1996
772,Azrael (New Earth),Public Identity,Neutral Characters,Gold Eyes,Black Hair,Living Characters,37,"1985, April",1985
773,Kathleen Sutton (New Earth),Public Identity,Good Characters,Unknown or None,Blond Hair,Living Characters,37,"1973, July",1973
774,Lonocelu Ospho (New Earth),Public Identity,Good Characters,Unknown or None,Unknown or None,Living Characters,37,"1985, May",1985
775,Jemm (New Earth),Public Identity,Good Characters,Yellow Eyes,Unknown or None,Living Characters,37,"1984, September",1984
776,Larvox (New Earth),Public Identity,Good Characters,Black Eyes,Orange Hair,Living Characters,36,"1961, December",1961
777,Robert Hinckley Long (New Earth),Public Identity,Neutral Characters,Black Eyes,Red Hair,Deceased Characters,36,"1992, September",1992
778,Non (New Earth),Public Identity,Bad Characters,Blue Eyes,Black Hair,Living Characters,36,"2007, January",2007
779,Stormy Knight (New Earth),Public Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,36,"2006, June",2006
780,Zor-El (New Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Deceased Characters,36,"2004, June",2004
781,Sarah Simms (New Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,36,"1981, June",1981
782,Glenda Mark (New Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,36,"1972, September",1972
783,Hephaestus (New Earth),Public Identity,Neutral Characters,Blue Eyes,White Hair,Living Characters,36,"1941, December",1941
784,Ramsey Robinson (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,36,"2004, November",2004
785,Charlotte Gage-Radcliffe (New Earth),Secret Identity,Good Characters,Blue Eyes,Red Hair,Living Characters,36,"2006, September",2006
786,Maximillian Zeus (New Earth),Public Identity,Bad Characters,Brown Eyes,Brown Hair,Living Characters,36,"1979, May",1979
787,Anthro (New Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Deceased Characters,36,"1968, May",1968
788,Thomas Ludlow Hallaway (New Earth),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Deceased Characters,36,"1940, May",1940
789,Anthony Rodriguez II (New Earth),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Living Characters,36,"1970, October",1970
790,Shado (New Earth),Secret Identity,Neutral Characters,Brown Eyes,Black Hair,Living Characters,36,"1987, August",1987
791,Mark Desmond (New Earth),Public Identity,Bad Characters,Hazel Eyes,Brown Hair,Deceased Characters,36,"1965, November",1965
792,Mordru (New Earth),Public Identity,Bad Characters,Hazel Eyes,Unknown or None,Living Characters,36,"1968, June",1968
793,Tobias Whale (New Earth),Public Identity,Bad Characters,Pink Eyes,Unknown or None,Living Characters,36,"1977, April",1977
794,Bruno Mannheim (New Earth),Public Identity,Bad Characters,Unknown or None,Unknown or None,Deceased Characters,36,"1971, July",1971
795,Andrew Franklin (New Earth),Secret Identity,Good Characters,Unknown or None,Unknown or None,Living Characters,36,"2006, June",2006
796,Bridget Clancy (New Earth),Unknown,Good Characters,Unknown or None,Black Hair,Living Characters,36,"1996, November",1996
797,Joshua Morgan (New Earth),Unknown,Good Characters,Unknown or None,Red Hair,Living Characters,36,"1978, November",1978
798,Munk (New Earth),Secret Identity,Good Characters,White Eyes,Unknown or None,Living Characters,36,"2008, January",2008
799,Merayn Dethalis (New Earth),Public Identity,Good Characters,Yellow Eyes,Purple Hair,Living Characters,36,"1993, December",1993
800,Lady Chian (New Earth),Unknown,Good Characters,Black Eyes,Black Hair,Living Characters,35,"1982, March",1982
801,Frederick Chyre (New Earth),Public Identity,Good Characters,Blue Eyes,Grey Hair,Living Characters,35,"2000, September",2000
802,Mary James (New Earth),Public Identity,Good Characters,Blue Eyes,Strawberry Blond Hair,Deceased Characters,35,"1940, October",1940
803,Laura Neilsen (New Earth),Public Identity,Good Characters,Blue Eyes,White Hair,Deceased Characters,35,"1971, February",1971
804,Myra Connelly (New Earth),Public Identity,Unknown or None,Blue Eyes,Unknown or None,Living Characters,35,"1987, February",1987
805,General Immortus (New Earth),Secret Identity,Bad Characters,Blue Eyes,Unknown or None,Living Characters,35,"1963, June",1963
806,Jeannette (New Earth),Secret Identity,Bad Characters,Blue Eyes,White Hair,Living Characters,35,"2009, January",2009
807,Arthur Joseph Curry (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,35,"2006, May",2006
808,Beryl Hutchinson (New Earth),Secret Identity,Good Characters,Blue Eyes,Red Hair,Living Characters,35,"1999, February",1999
809,Gardner Grayle (New Earth),Secret Identity,Good Characters,Blue Eyes,Red Hair,Living Characters,35,"1983, May",1983
810,Jeffrey Smith (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,35,"1990, February",1990
811,Carla White (New Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Living Characters,35,"1992, October",1992
812,Michael Lane (New Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,35,"2007, June",2007
813,Delilah Tyler (New Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Deceased Characters,35,"1989, January",1989
814,Sebastian Blood VIII (New Earth),Secret Identity,Bad Characters,Grey Eyes,Black Hair,Deceased Characters,35,"1982, July",1982
815,Varix (New Earth),Public Identity,Good Characters,Unknown or None,White Hair,Deceased Characters,35,1986,1986
816,Mickey Cannon (New Earth),Unknown,Good Characters,Unknown or None,Brown Hair,Living Characters,35,"1998, October",1998
817,Elsa Magnusson (New Earth),Unknown,Good Characters,Unknown or None,Unknown or None,Living Characters,35,"1959, August",1959
818,Rhea Jones (New Earth),Secret Identity,Good Characters,White Eyes,Red Hair,Living Characters,35,"1987, December",1987
819,Dex-Starr (New Earth),Public Identity,Bad Characters,Yellow Eyes,Blue Hair,Living Characters,35,"2008, December",2008
820,Samuel Makoa (New Earth),Public Identity,Good Characters,Black Eyes,Black Hair,Living Characters,34,"1994, February",1994
821,Oswald Loomis (New Earth),Public Identity,Bad Characters,Blue Eyes,Brown Hair,Living Characters,34,"1988, April",1988
822,Courtney Mason (New Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Deceased Characters,34,"1993, July",1993
823,Diane Meade (New Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,34,"1957, August",1957
824,Bonnie Baxter (New Earth),Public Identity,Good Characters,Blue Eyes,Brown Hair,Living Characters,34,"1990, February",1990
825,Prometheus (New Earth),Secret Identity,Bad Characters,Blue Eyes,White Hair,Deceased Characters,34,"1998, February",1998
826,Jack Wheeler (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,34,"1987, September",1987
827,Brian Kent (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Deceased Characters,34,"1955, September",1955
828,King Standish (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,34,"1940, March",1940
829,Natasha Ulyanov (New Earth),Unknown,Bad Characters,Blue Eyes,Blond Hair,Living Characters,34,"1986, August",1986
830,Frankenstein (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,34,"2006, January",2006
831,Onyx Adams (New Earth),Public Identity,Unknown or None,Brown Eyes,Unknown or None,Living Characters,34,"1985, January",1985
832,Augustus Freeman (Dakotaverse),Secret Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,34,"1993, May",1993
833,Sebastian Ives (New Earth),Public Identity,Good Characters,Unknown or None,Blond Hair,Living Characters,34,"1991, October",1991
834,Hath-Set (New Earth),Secret Identity,Bad Characters,Unknown or None,Unknown or None,Deceased Characters,34,"1940, January",1940
835,Valerie Kameya (Dakotaverse),Secret Identity,Good Characters,Unknown or None,Black Hair,Living Characters,34,"1994, January",1994
836,Mikhail Arkadin (New Earth),Secret Identity,Good Characters,Unknown or None,Brown Hair,Living Characters,34,"1987, October",1987
837,Nimbus (New Earth),Secret Identity,Good Characters,White Eyes,Unknown or None,Living Characters,34,"1981, June",1981
838,Charlie the Owl (New Earth),Public Identity,Good Characters,Amber Eyes,Unknown or None,Living Characters,33,"1999, February",1999
839,Bloodwynd (New Earth),Public Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,33,"1993, July",1993
840,Felicity Smoak (New Earth),Public Identity,Neutral Characters,Blue Eyes,Black Hair,Living Characters,33,"1984, May",1984
841,Jewelee (New Earth),Secret Identity,Bad Characters,Blue Eyes,Blond Hair,Living Characters,33,"1988, July",1988
842,Darla Aquista (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,33,"2004, February",2004
843,Jonathan Fox (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,33,1990,1990
844,Patricia Trayce (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,33,"1992, January",1992
845,Rod Reilly (New Earth),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Deceased Characters,33,"1941, August",1941
846,May Bennett (New Earth),Unknown,Neutral Characters,Blue Eyes,Brown Hair,Living Characters,33,"1982, July",1982
847,Isuma Yasunari (New Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Deceased Characters,33,"1982, June",1982
848,Monitor Bob,Unknown,Neutral Characters,Red Eyes,Black Hair,Deceased Characters,33,"2007, July",2007
849,Ubu (New Earth),Public Identity,Bad Characters,Unknown or None,Unknown or None,Living Characters,33,"1971, June",1971
850,Peter Merkel (New Earth),Secret Identity,Bad Characters,Unknown or None,Red Hair,Deceased Characters,33,"1942, December",1942
851,Lester Buchinsky (New Earth),Secret Identity,Bad Characters,Unknown or None,Unknown or None,Deceased Characters,33,"1992, May",1992
852,Sensei (New Earth),Secret Identity,Bad Characters,Unknown or None,White Hair,Living Characters,33,"1968, December",1968
853,Leroy Johnson (New Earth),Unknown,Good Characters,Unknown or None,Unknown or None,Deceased Characters,33,"1965, April",1965
854,Simon LaGrieve (New Earth),Unknown,Neutral Characters,Unknown or None,Grey Hair,Living Characters,33,"1987, May",1987
855,Marcia King (New Earth),Public Identity,Good Characters,Auburn Hair,Unknown or None,Living Characters,32,"1984, April",1984
856,Hades (New Earth),Public Identity,Neutral Characters,Black Eyes,Black Hair,Living Characters,32,"1941, December",1941
857,Amos Fortune (New Earth),Secret Identity,Bad Characters,Black Eyes,Black Hair,Living Characters,32,"1961, September",1961
858,Aaron Helzinger (New Earth),Secret Identity,Bad Characters,Black Eyes,Unknown or None,Living Characters,32,"1992, August",1992
859,Joseph Martin (New Earth),Secret Identity,Bad Characters,Black Eyes,Unknown or None,Living Characters,32,"1991, October",1991
860,Julian Day (New Earth),Secret Identity,Bad Characters,Black Eyes,Unknown or None,Living Characters,32,"1958, September",1958
861,Ira Quimby (New Earth),Public Identity,Bad Characters,Blue Eyes,Brown Hair,Living Characters,32,"1963, November",1963
862,Atlan (New Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,32,"1990, July",1990
863,William Vickers (New Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Deceased Characters,32,"1984, September",1984
864,Steven Smith (New Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,32,"1972, October",1972
865,Corky Baxter (New Earth),Public Identity,Good Characters,Blue Eyes,Brown Hair,Deceased Characters,32,"1990, March",1990
866,Marla Bloom (New Earth),Public Identity,Good Characters,Blue Eyes,Unknown or None,Deceased Characters,32,"1984, June",1984
867,Santa Claus,Public Identity,Good Characters,Blue Eyes,White Hair,Living Characters,32,1940,1940
868,Albrecht Krieger (New Earth),Secret Identity,Bad Characters,Blue Eyes,Blond Hair,Living Characters,32,"1995, July",1995
869,Gerri Brauer (Dakotaverse),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,32,"1994, January",1994
870,Michelle Carter (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,32,"1986, July",1986
871,William Tockman (New Earth),Unknown,Bad Characters,Blue Eyes,Black Hair,Deceased Characters,32,"1960, August",1960
872,Boris Ulyanov (New Earth),Unknown,Bad Characters,Blue Eyes,Blond Hair,Living Characters,32,"1986, August",1986
873,Chester Runk (New Earth),Public Identity,Unknown or None,Brown Eyes,Black Hair,Living Characters,32,"1988, February",1988
874,Eric Needham (New Earth),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Living Characters,32,"1976, September",1976
875,Simon Hurt (New Earth),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Living Characters,32,"1963, June",1963
876,Mortimer Drake (New Earth),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Living Characters,32,"1943, November",1943
877,Ulysses Hazard (New Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,32,"1977, August",1977
878,Space Cabby (New Earth),Secret Identity,Unknown or None,Brown Eyes,Brown Hair,Living Characters,32,"1954, September",1954
879,Tweedledum and Tweedledee (New Earth),Secret Identity,Bad Characters,Green Eyes,Unknown or None,Living Characters,32,"1943, April",1943
880,Wendy Kuttler (New Earth),Secret Identity,Good Characters,Green Eyes,Black Hair,Living Characters,32,"2006, May",2006
881,Tawky Tawny (New Earth),Public Identity,Good Characters,Orange Eyes,Orange Hair,Living Characters,32,"1995, June",1995
882,Joshua Saunders (New Earth),Unknown,Good Characters,Red Eyes,Unknown or None,Deceased Characters,32,"1996, June",1996
883,Elinore Lane (New Earth),Public Identity,Good Characters,Unknown or None,Black Hair,Living Characters,32,"1959, November",1959
884,Deadline (New Earth),Secret Identity,Bad Characters,Unknown or None,Unknown or None,Living Characters,32,"1989, October",1989
885,Liri Lee (New Earth),Secret Identity,Good Characters,Unknown or None,Blond Hair,Living Characters,32,"1991, September",1991
886,Aleksandr Creote (New Earth),Secret Identity,Good Characters,Unknown or None,Brown Hair,Living Characters,32,"2003, August",2003
887,Takeo Yakata (New Earth),Secret Identity,Good Characters,Unknown or None,Unknown or None,Deceased Characters,32,"1988, January",1988
888,Harry Chawney (Dakotaverse),Secret Identity,Good Characters,White Eyes,Grey Hair,Living Characters,32,"1994, January",1994
889,William MacIntyre (New Earth),Secret Identity,Good Characters,White Eyes,White Hair,Deceased Characters,32,"1994, August",1994
890,Prince Topaz (New Earth),Public Identity,Good Characters,Yellow Eyes,Blond Hair,Living Characters,32,"1983, August",1983
891,Chandi Gupta (New Earth),Secret Identity,Good Characters,Black Eyes,Black Hair,Living Characters,31,"1993, February",1993
892,Marcus Driver (New Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,31,"2003, February",2003
893,Andre Twist (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Deceased Characters,31,"2006, June",2006
894,Benjamin Lockwood (New Earth),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Deceased Characters,31,"1991, October",1991
895,Jared Morillo (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,31,"2001, April",2001
896,Atlanna (New Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Deceased Characters,31,"1959, May",1959
897,Lynn Stewart (New Earth),Public Identity,Neutral Characters,Brown Eyes,Black Hair,Living Characters,31,"1977, July",1977
898,Jean-Louis Droo (New Earth),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Living Characters,31,"1981, December",1981
899,Erica Alexandra del Portenza (New Earth),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Deceased Characters,31,"1995, June",1995
900,David Kim (Dakotaverse),Secret Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,31,"1994, January",1994
901,Flying Fox (New Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,31,"1987, June",1987
902,Mythus (New Earth),Unknown,Good Characters,Green Eyes,Unknown or None,Deceased Characters,31,"1981, January",1981
903,Roy G. Bivolo (New Earth),Secret Identity,Bad Characters,Grey Eyes,Black Hair,Deceased Characters,31,"1980, June",1980
904,Armand Krol (New Earth),Public Identity,Bad Characters,Unknown or None,Brown Hair,Deceased Characters,31,"1992, August",1992
905,Slushh (New Earth),Public Identity,Bad Characters,Unknown or None,Unknown or None,Living Characters,31,"2007, August",2007
906,Jacob Kane (New Earth),Public Identity,Good Characters,Unknown or None,Unknown or None,Living Characters,31,"2009, August",2009
907,Karon (New Earth),Public Identity,Good Characters,Unknown or None,Unknown or None,Living Characters,31,"2002, June",2002
908,Quislet (Pre-Zero Hour),Public Identity,Good Characters,Unknown or None,Unknown or None,Living Characters,31,"1985, September",1985
909,Apros (New Earth),Public Identity,Good Characters,Unknown or None,Unknown or None,Living Characters,31,"1981, May",1981
910,Gretchen Kelley (New Earth),Public Identity,Unknown or None,Unknown or None,Grey Hair,Living Characters,31,"1987, February",1987
911,Zastrow (New Earth),Secret Identity,Bad Characters,Unknown or None,Unknown or None,Living Characters,31,"1987, August",1987
912,Laira Omoto (New Earth),Secret Identity,Neutral Characters,White Eyes,Red Hair,Deceased Characters,31,"1993, September",1993
913,King Chimera (New Earth),Secret Identity,Good Characters,Black Eyes,Black Hair,Living Characters,30,"2009, April",2009
914,David Cain (New Earth),Public Identity,Bad Characters,Blue Eyes,Grey Hair,Living Characters,30,"1999, July",1999
915,Funky Flashman (New Earth),Public Identity,Bad Characters,Blue Eyes,Unknown or None,Living Characters,30,"1972, February",1972
916,Iluthin (New Earth),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Deceased Characters,30,"1972, April",1972
917,Abel Tarrant (New Earth),Secret Identity,Bad Characters,Blue Eyes,Brown Hair,Deceased Characters,30,"1963, September",1963
918,Daniel Garrett (New Earth),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Deceased Characters,30,"1986, May",1986
919,Wanda Wayland (New Earth),Public Identity,Bad Characters,Brown Eyes,Blond Hair,Living Characters,30,"1982, June",1982
920,Mark Richards (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,30,"2006, April",2006
921,Charles Grayson (New Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Living Characters,30,"1942, April",1942
922,Nommo (New Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Deceased Characters,30,"1982, June",1982
923,Raquel Ervin (Dakotaverse),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Living Characters,30,"1993, May",1993
924,Euboea (New Earth),Unknown,Good Characters,Brown Eyes,Black Hair,Living Characters,30,"1987, November",1987
925,Michael Schorr (New Earth),Public Identity,Good Characters,Green Eyes,Brown Hair,Living Characters,30,"1995, September",1995
926,Rodunn (New Earth),Public Identity,Good Characters,Grey Eyes,Brown Hair,Living Characters,30,"2000, January",2000
927,Mantis (New Earth),Secret Identity,Bad Characters,Orange Eyes,Unknown or None,Deceased Characters,30,"1971, May",1971
928,Kelex (New Earth),Public Identity,Neutral Characters,Photocellular Eyes,Unknown or None,Deceased Characters,30,"1988, February",1988
929,Jinx (New Earth),Secret Identity,Bad Characters,Purple Eyes,Unknown or None,Living Characters,30,"1985, August",1985
930,Percival Clearweather (New Earth),Public Identity,Good Characters,Unknown or None,Brown Hair,Living Characters,30,"1947, September",1947
931,Carl Ferris (New Earth),Public Identity,Good Characters,Unknown or None,White Hair,Living Characters,30,"1959, October",1959
932,Hook (New Earth),Secret Identity,Bad Characters,Unknown or None,Black Hair,Living Characters,30,"1968, March",1968
933,Loren Jupiter (New Earth),Secret Identity,Good Characters,Unknown or None,Grey Hair,Living Characters,30,"1970, February",1970
